Título,Contenido,Fecha de Publicación
Balnearia: detuvieron a un hombre que atacó a un adolescente con un machete,"Efectivos de la Fuerza Policial Antinarcotráfico (FPA) detuvo a un hombre de 30 años por agredir a un adolescente de 17 con un machete en la localidad de Balnearia.La víctima presentaba heridas leves mientras que el agresor fue trasladado a la comisaria local.Córdoba: drogado y con un machete, entró a un destacamento y atacó a trompadas a un policíaEl procedimiento fue realizado en barrio IPV Norte de la localidad en el marco de un operativo interfuerzas de la FPA en conjunto con Policía de la Provincia de Córdoba realizado en algunas localidades del departamento San Justo.Según informaron fuentes oficiales se patrullaron principales accesos, rutas, calles y espacios verdes de las localidades de Balnearia, Miramar y Morteros.Armado y con un machete persiguió a una joven en Córdoba: fue detenidoEl dispositivo se enmarca en el plan de prevención y lucha contra el narcotráfico dirigido por el Ministerio Público Fiscal de la Provincia de Córdoba y llevado adelante por la FPA.Temas RelacionadosCórdobaPolicía de CórdobaTenemos algo para ofrecerteCon tu suscripción navegás sin límites, accedés a contenidos exclusivos y mucho más. ¡También podés sumar La Voz para ahorrar en cientos de comercios!¡QUIERO MI SUSCIPCIÓN!MÁS DE  CIUDADANOSCiudadanosLa Iglesia de Córdoba ya tiene dos nuevos obispos auxiliaresCiudadanosCiudad de Córdoba: rigen las subas en el estacionamiento medido y en la ITVCOMPARTIR NOTAFacebookXWhatsappMail×Esta es una funcionalidad exclusiva paraSuscriptores de LaVozYa soy suscriptorSuscribite ahora","sábado, 4 de noviembre de 2023"
Por cuánto superó Lionel Messi al noruego Erling Haaland en la puja por el Balón de Oro,"El campeón mundial Lionel Messi recibió 462 puntos en la elección del ganador del Balón de Oro, contra 357 de goleador noruego Erling Haaland, según los datos revelados este sábado en la ceremonia que permitió al rosarino obtener su octavo galardón en la historia como el mejor jugador del año por una diferencia de 105 unidades.El diario francés L’Equipe reveló las cifras definitivas del la elección efectuada el lunes pasado en donde figuró tercero el astro francés Kyllan Mbappe con 270 puntos. Por su parte, el arquero argentino Emiliano Martínez fue 15° con siete puntos y el delantero Lautaro Martínez 20° con cuatro unidades.Messi fue elegido por 87 de los 92 periodistas, 65 de los cuales lo votaron como el mejor del año y como curiosidad, no votaron por él los representantes cameruneses, caboverdianos, jordanos, salvadoreños y suizos, consignó la agencia de noticias DPA.El Maracaná ya empieza a vivir el clima de la gran final de la Libertadores entre Boca y FluminenseEl jurado del Balón de Oro, entregado por el semanario francés France Football, está compuesto por 92 periodistas entre los 100 primeros países del ranking FIFA y el medio organizador establece la lista de 30 nominados y cada miembro del jurado debe indicar, por orden sus cinco primeros.El jugador en primera posición obtiene seis puntos, el segundo cuatro, el tercero tres, el cuarto dos y el quinto, uno.Una noche plaga de la ley del ex: River perdió 2-1 ante Huracán por la Copa de la Liga ProfesionalLos 10 primeros fueron los siguientes: 1) Lionel Messi (Argentina-PSG-Inter Miami)462 puntos.2) Erling Haaland (Noruega-Manchester City) 357.3) Kylian Mbappé (Francia-PSG) 270.4) Kevin De Bruyne (Bélgica-Manchester City) 100.5) Rodri (España-Manchester City) 57.6) Vinícius (Brasil-Real Madrid) 49.7) Julián Álvarez (Argentina-Manchester City)28. 8) Victor Osimhen (Nigeria-Nápoli) 24.9) Bernardo Silva (Portugal-Manchester City)20.10) Luka Modric (Croacia-Real Madrid) Temas RelacionadosLionel MessiBalon de OroTenemos algo para ofrecerteCon tu suscripción navegás sin límites, accedés a contenidos exclusivos y mucho más. ¡También podés sumar La Voz para ahorrar en cientos de comercios!¡QUIERO MI SUSCIPCIÓN!MÁS DE  FÚTBOLFútbolEl Maracaná ya empieza a vivir el clima de la gran final de la Libertadores entre Boca y FluminenseFútbolAlejandro Rébola: Llegar a una Copa con Belgrano para coronar este gran añoCOMPARTIR NOTAFacebookXWhatsappMail
        Cargando...
     ×Esta es una funcionalidad exclusiva paraSuscriptores de LaVozYa soy suscriptorSuscribite ahora","sábado, 4 de noviembre de 2023"
